"question","answer"
"How do you treat Choking?
","For yourself: Start coughing to expel the foreign body. If the obstruction persists, find a table or the back of a chair and press on it the center of your chest.\nFor adults: If the victim is breathing encourage them to cough loudly while looking down. Help him/her bend forward and hit it with the base of the palm between the two shoulder blades five times. If there is still an obstruction then we apply 5 abdominal thrusts at the center of the chest by putting one hand into a fist and pressing it in and upwards with the help of the other handand up. If he loses consciousness and collapses then we apply CPR for adults.\nFor childen: If the child is breathing, encourage him/her to cough loudly. Help the child lean forward and hit him/her hard with the base of the palm between the two shoulder blades five times. If there is still an obstruction then we apply 5 abdominal thrusts where the sternum ends at the center of the chest by putting one hand into a fist and pressing with the other in and upwards. Abdominal compressions are allowed from the 2nd year of age. If he/she loses consciousness and collapses then we apply CPR for children.\nFor infants: If the infant is not breathing and is not crying, place the infant on the forearm of one hand holding his jaw open with our hand and tap him five times between the shoulder blades. If there is still an obstruction then we apply 5 chest compressions between the nipples. If it loses consciousness and collapses, apply CPR for infants.
"
"what to do if i get a Choke?
","For yourself: Start coughing to expel the foreign body. If the obstruction persists, find a table or the back of a chair and press on it the center of your chest.\nFor adults: If the victim is breathing encourage them to cough loudly while looking down. Help him/her bend forward and hit it with the base of the palm between the two shoulder blades five times. If there is still an obstruction then we apply 5 abdominal thrusts at the center of the chest by putting one hand into a fist and pressing it in and upwards with the help of the other handand up. If he loses consciousness and collapses then we apply CPR for adults.\nFor childen: If the child is breathing, encourage him/her to cough loudly. Help the child lean forward and hit him/her hard with the base of the palm between the two shoulder blades five times. If there is still an obstruction then we apply 5 abdominal thrusts where the sternum ends at the center of the chest by putting one hand into a fist and pressing with the other in and upwards. Abdominal compressions are allowed from the 2nd year of age. If he/she loses consciousness and collapses then we apply CPR for children.\nFor infants: If the infant is not breathing and is not crying, place the infant on the forearm of one hand holding his jaw open with our hand and tap him five times between the shoulder blades. If there is still an obstruction then we apply 5 chest compressions between the nipples. If it loses consciousness and collapses, apply CPR for infants.
"
"How to cure Choking?
","For yourself: Start coughing to expel the foreign body. If the obstruction persists, find a table or the back of a chair and press on it the center of your chest.\nFor adults: If the victim is breathing encourage them to cough loudly while looking down. Help him/her bend forward and hit it with the base of the palm between the two shoulder blades five times. If there is still an obstruction then we apply 5 abdominal thrusts at the center of the chest by putting one hand into a fist and pressing it in and upwards with the help of the other handand up. If he loses consciousness and collapses then we apply CPR for adults.\nFor childen: If the child is breathing, encourage him/her to cough loudly. Help the child lean forward and hit him/her hard with the base of the palm between the two shoulder blades five times. If there is still an obstruction then we apply 5 abdominal thrusts where the sternum ends at the center of the chest by putting one hand into a fist and pressing with the other in and upwards. Abdominal compressions are allowed from the 2nd year of age. If he/she loses consciousness and collapses then we apply CPR for children.\nFor infants: If the infant is not breathing and is not crying, place the infant on the forearm of one hand holding his jaw open with our hand and tap him five times between the shoulder blades. If there is still an obstruction then we apply 5 chest compressions between the nipples. If it loses consciousness and collapses, apply CPR for infants.
"
"choking
","For yourself: Start coughing to expel the foreign body. If the obstruction persists, find a table or the back of a chair and press on it the center of your chest.\nFor adults: If the victim is breathing encourage them to cough loudly while looking down. Help him/her bend forward and hit it with the base of the palm between the two shoulder blades five times. If there is still an obstruction then we apply 5 abdominal thrusts at the center of the chest by putting one hand into a fist and pressing it in and upwards with the help of the other handand up. If he loses consciousness and collapses then we apply CPR for adults.\nFor childen: If the child is breathing, encourage him/her to cough loudly. Help the child lean forward and hit him/her hard with the base of the palm between the two shoulder blades five times. If there is still an obstruction then we apply 5 abdominal thrusts where the sternum ends at the center of the chest by putting one hand into a fist and pressing with the other in and upwards. Abdominal compressions are allowed from the 2nd year of age. If he/she loses consciousness and collapses then we apply CPR for children.\nFor infants: If the infant is not breathing and is not crying, place the infant on the forearm of one hand holding his jaw open with our hand and tap him five times between the shoulder blades. If there is still an obstruction then we apply 5 chest compressions between the nipples. If it loses consciousness and collapses, apply CPR for infants.
"
"He is choking
","For adults: If the victim is breathing encourage them to cough loudly while looking down. Help him/her bend forward and hit it with the base of the palm between the two shoulder blades five times. If there is still an obstruction then we apply 5 abdominal thrusts at the center of the chest by putting one hand into a fist and pressing it in and upwards with the help of the other handand up. If he loses consciousness and collapses then we apply CPR for adults.\nFor childen: If the child is breathing, encourage him/her to cough loudly. Help the child lean forward and hit him/her hard with the base of the palm between the two shoulder blades five times. If there is still an obstruction then we apply 5 abdominal thrusts where the sternum ends at the center of the chest by putting one hand into a fist and pressing with the other in and upwards. Abdominal compressions are allowed from the 2nd year of age. If he/she loses consciousness and collapses then we apply CPR for children.\nFor infants: If the infant is not breathing and is not crying, place the infant on the forearm of one hand holding his jaw open with our hand and tap him five times between the shoulder blades. If there is still an obstruction then we apply 5 chest compressions between the nipples. If it loses consciousness and collapses, apply CPR for infants.
"
"She is choking
","For adults: If the victim is breathing encourage them to cough loudly while looking down. Help him/her bend forward and hit it with the base of the palm between the two shoulder blades five times. If there is still an obstruction then we apply 5 abdominal thrusts at the center of the chest by putting one hand into a fist and pressing it in and upwards with the help of the other handand up. If he loses consciousness and collapses then we apply CPR for adults.\nFor childen: If the child is breathing, encourage him/her to cough loudly. Help the child lean forward and hit him/her hard with the base of the palm between the two shoulder blades five times. If there is still an obstruction then we apply 5 abdominal thrusts where the sternum ends at the center of the chest by putting one hand into a fist and pressing with the other in and upwards. Abdominal compressions are allowed from the 2nd year of age. If he/she loses consciousness and collapses then we apply CPR for children.\nFor infants: If the infant is not breathing and is not crying, place the infant on the forearm of one hand holding his jaw open with our hand and tap him five times between the shoulder blades. If there is still an obstruction then we apply 5 chest compressions between the nipples. If it loses consciousness and collapses, apply CPR for infants.
"
"My son is choking
","For adults: If the victim is breathing encourage them to cough loudly while looking down. Help him/her bend forward and hit it with the base of the palm between the two shoulder blades five times. If there is still an obstruction then we apply 5 abdominal thrusts at the center of the chest by putting one hand into a fist and pressing it in and upwards with the help of the other handand up. If he loses consciousness and collapses then we apply CPR for adults.\nFor childen: If the child is breathing, encourage him/her to cough loudly. Help the child lean forward and hit him/her hard with the base of the palm between the two shoulder blades five times. If there is still an obstruction then we apply 5 abdominal thrusts where the sternum ends at the center of the chest by putting one hand into a fist and pressing with the other in and upwards. Abdominal compressions are allowed from the 2nd year of age. If he/she loses consciousness and collapses then we apply CPR for children.\nFor infants: If the infant is not breathing and is not crying, place the infant on the forearm of one hand holding his jaw open with our hand and tap him five times between the shoulder blades. If there is still an obstruction then we apply 5 chest compressions between the nipples. If it loses consciousness and collapses, apply CPR for infants.
"
"My daughter is choking
","For adults: If the victim is breathing encourage them to cough loudly while looking down. Help him/her bend forward and hit it with the base of the palm between the two shoulder blades five times. If there is still an obstruction then we apply 5 abdominal thrusts at the center of the chest by putting one hand into a fist and pressing it in and upwards with the help of the other handand up. If he loses consciousness and collapses then we apply CPR for adults.\nFor childen: If the child is breathing, encourage him/her to cough loudly. Help the child lean forward and hit him/her hard with the base of the palm between the two shoulder blades five times. If there is still an obstruction then we apply 5 abdominal thrusts where the sternum ends at the center of the chest by putting one hand into a fist and pressing with the other in and upwards. Abdominal compressions are allowed from the 2nd year of age. If he/she loses consciousness and collapses then we apply CPR for children.\nFor infants: If the infant is not breathing and is not crying, place the infant on the forearm of one hand holding his jaw open with our hand and tap him five times between the shoulder blades. If there is still an obstruction then we apply 5 chest compressions between the nipples. If it loses consciousness and collapses, apply CPR for infants.
"
"My husband is choking
","If the victim is breathing encourage them to cough loudly while looking down. Help him/her bend forward and hit it with the base of the palm between the two shoulder blades five times. If there is still an obstruction then we apply 5 abdominal thrusts at the center of the chest by putting one hand into a fist and pressing it in and upwards with the help of the other handand up. If he loses consciousness and collapses then we apply CPR for adults.
"
"My wife is choking
","If the victim is breathing encourage them to cough loudly while looking down. Help him/her bend forward and hit it with the base of the palm between the two shoulder blades five times. If there is still an obstruction then we apply 5 abdominal thrusts at the center of the chest by putting one hand into a fist and pressing it in and upwards with the help of the other handand up. If he loses consciousness and collapses then we apply CPR for adults.
"
